account_amount,duration,credit_history,credit_purpose,credit_amount,savings_amount,employment_length,installment_rate,other_debtors,residence_length,property,age,installment_plans,housing,existing_credits,job,dependents,telephone,foreign_worker,credit_score,person_id,sex,personal_status
A14,12,A32,A43,707,A61,A73,4,A101,2,A121,30,A141,A152,2,A173,1,A191,A201,0,222,Male,single
A14,24,A33,A49,2978,A65,A73,4,A101,4,A121,32,A143,A152,2,A173,2,A192,A201,0,223,Male,single
A14,15,A32,A41,4657,A61,A73,3,A101,2,A123,30,A143,A152,1,A173,1,A192,A201,0,224,Male,single
A14,36,A30,A45,2613,A61,A73,4,A101,2,A123,27,A143,A152,2,A173,1,A191,A201,0,225,Male,single
A12,48,A32,A43,10961,A64,A74,1,A102,2,A124,27,A141,A152,2,A173,1,A192,A201,1,226,Male,single
A11,12,A32,A42,7865,A61,A75,4,A101,4,A124,53,A143,A153,1,A174,1,A192,A201,1,227,Male,single
A14,9,A32,A43,1478,A61,A74,4,A101,2,A123,22,A143,A152,1,A173,1,A191,A201,1,228,Male,single
A11,24,A32,A42,3149,A61,A72,4,A101,1,A124,22,A141,A153,1,A173,1,A191,A201,0,229,Male,single
A13,36,A32,A43,4210,A61,A73,4,A101,2,A123,26,A143,A152,1,A173,1,A191,A201,1,230,Male,single
A14,9,A32,A40,2507,A63,A75,2,A101,4,A124,51,A143,A153,1,A172,1,A191,A201,0,231,Male,single
A14,12,A32,A43,2141,A62,A74,3,A101,1,A124,35,A143,A152,1,A173,1,A191,A201,0,232,Male,single
A12,18,A32,A43,866,A61,A73,4,A103,2,A121,25,A143,A152,1,A172,1,A191,A201,0,233,Male,married/previously_married
A14,4,A34,A43,1544,A61,A74,2,A101,1,A121,42,A143,A152,3,A172,2,A191,A201,0,234,Male,single
A11,24,A32,A43,1823,A61,A71,4,A101,2,A123,30,A142,A152,1,A174,2,A191,A201,1,235,Male,single
A12,6,A32,A40,14555,A65,A71,1,A101,2,A122,23,A143,A152,1,A171,1,A192,A201,1,236,Male,single
A12,21,A32,A49,2767,A62,A75,4,A101,2,A123,61,A141,A151,2,A172,1,A191,A201,1,237,Male,married/previously_married
A14,12,A34,A43,1291,A61,A73,4,A101,2,A122,35,A143,A152,2,A173,1,A191,A201,0,238,Female,married/previously_married
A11,30,A32,A43,2522,A61,A75,1,A103,3,A122,39,A143,A152,1,A173,2,A191,A201,0,239,Male,single
A11,24,A32,A40,915,A65,A75,4,A101,2,A123,29,A141,A152,1,A173,1,A191,A201,1,240,Female,married/previously_married
A14,6,A32,A43,1595,A61,A74,3,A101,2,A122,51,A143,A152,1,A173,2,A191,A201,0,241,Male,single
A11,48,A30,A41,4605,A61,A75,3,A101,4,A124,24,A143,A153,2,A173,2,A191,A201,1,242,Male,single
A14,12,A34,A49,1185,A61,A73,3,A101,2,A121,27,A143,A152,2,A173,1,A191,A201,0,243,Female,married/previously_married
A14,12,A31,A48,3447,A63,A73,4,A101,3,A121,35,A143,A152,1,A172,2,A191,A201,0,244,Female,married/previously_married
A14,24,A32,A49,1258,A61,A74,4,A101,1,A121,25,A143,A152,1,A173,1,A192,A201,0,245,Male,single
A14,12,A34,A43,717,A61,A75,4,A101,4,A121,52,A143,A152,3,A173,1,A191,A201,0,246,Male,single
A14,6,A30,A40,1204,A62,A73,4,A101,1,A124,35,A141,A151,1,A173,1,A191,A202,0,247,Male,single
A13,24,A32,A42,1925,A61,A73,2,A101,2,A121,26,A143,A152,1,A173,1,A191,A201,0,248,Male,single
A14,18,A32,A43,433,A61,A71,3,A102,4,A121,22,A143,A151,1,A173,1,A191,A201,1,249,Female,married/previously_married
A11,6,A34,A40,666,A64,A74,3,A101,4,A121,39,A143,A152,2,A172,1,A192,A201,0,250,Female,married/previously_married
A13,12,A32,A42,2251,A61,A73,1,A101,2,A123,46,A143,A152,1,A172,1,A191,A201,0,251,Female,married/previously_married
A12,30,A32,A40,2150,A61,A73,4,A103,2,A124,24,A141,A152,1,A173,1,A191,A201,1,252,Female,married/previously_married
A14,24,A33,A42,4151,A62,A73,2,A101,3,A122,35,A143,A152,2,A173,1,A191,A201,0,253,Male,single
A12,9,A32,A42,2030,A65,A74,2,A101,1,A123,24,A143,A152,1,A173,1,A192,A201,0,254,Male,single
A12,60,A33,A43,7418,A65,A73,1,A101,1,A121,27,A143,A152,1,A172,1,A191,A201,0,255,Male,single
A14,24,A34,A43,2684,A61,A73,4,A101,2,A121,35,A143,A152,2,A172,1,A191,A201,0,256,Male,single
A11,12,A31,A43,2149,A61,A73,4,A101,1,A124,29,A143,A153,1,A173,1,A191,A201,1,257,Male,married/previously_married
A14,15,A32,A41,3812,A62,A72,1,A101,4,A123,23,A143,A152,1,A173,1,A192,A201,0,258,Female,married/previously_married
A14,11,A34,A43,1154,A62,A71,4,A101,4,A121,57,A143,A152,3,A172,1,A191,A201,0,259,Female,married/previously_married
A11,12,A32,A42,1657,A61,A73,2,A101,2,A121,27,A143,A152,1,A173,1,A191,A201,0,260,Male,single
A11,24,A32,A43,1603,A61,A75,4,A101,4,A123,55,A143,A152,1,A173,1,A191,A201,0,261,Female,married/previously_married
A11,18,A34,A40,5302,A61,A75,2,A101,4,A124,36,A143,A153,3,A174,1,A192,A201,0,262,Male,single
A14,12,A34,A46,2748,A61,A75,2,A101,4,A124,57,A141,A153,3,A172,1,A191,A201,0,263,Female,married/previously_married
A14,10,A34,A40,1231,A61,A75,3,A101,4,A121,32,A143,A152,2,A172,2,A191,A202,0,264,Male,single
A12,15,A32,A43,802,A61,A75,4,A101,3,A123,37,A143,A152,1,A173,2,A191,A201,1,265,Male,single
A14,36,A34,A49,6304,A65,A75,4,A101,4,A121,36,A143,A152,2,A173,1,A191,A201,0,266,Male,single
A14,24,A32,A43,1533,A61,A72,4,A101,3,A123,38,A142,A152,1,A173,1,A192,A201,0,267,Female,married/previously_married
A11,14,A32,A40,8978,A61,A75,1,A101,4,A122,45,A143,A152,1,A174,1,A192,A202,1,268,Male,married/previously_married
A14,24,A32,A43,999,A65,A75,4,A101,2,A123,25,A143,A152,2,A173,1,A191,A201,0,269,Male,single
A14,18,A32,A40,2662,A65,A74,4,A101,3,A122,32,A143,A152,1,A173,1,A191,A202,0,270,Male,single
A14,12,A34,A42,1402,A63,A74,3,A101,4,A123,37,A143,A151,1,A173,1,A192,A201,0,271,Female,married/previously_married
A12,48,A31,A40,12169,A65,A71,4,A102,4,A124,36,A143,A153,1,A174,1,A192,A201,0,272,Male,single
A12,48,A32,A43,3060,A61,A74,4,A101,4,A121,28,A143,A152,2,A173,1,A191,A201,1,273,Male,single
A11,30,A32,A45,11998,A61,A72,1,A101,1,A124,34,A143,A152,1,A172,1,A192,A201,1,274,Male,married/previously_married
A14,9,A32,A43,2697,A61,A73,1,A101,2,A121,32,A143,A152,1,A173,2,A191,A201,0,275,Male,single
A14,18,A34,A43,2404,A61,A73,2,A101,2,A123,26,A143,A152,2,A173,1,A191,A201,0,276,Female,married/previously_married
A11,12,A32,A42,1262,A65,A75,2,A101,4,A122,49,A143,A152,1,A172,1,A192,A201,0,277,Male,married/previously_married
A14,6,A32,A42,4611,A61,A72,1,A101,4,A122,32,A143,A152,1,A173,1,A191,A201,1,278,Female,married/previously_married
A14,24,A32,A43,1901,A62,A73,4,A101,4,A123,29,A143,A151,1,A174,1,A192,A201,0,279,Male,single
A14,15,A34,A41,3368,A64,A75,3,A101,4,A124,23,A143,A151,2,A173,1,A192,A201,0,280,Male,single
A14,12,A32,A42,1574,A61,A73,4,A101,2,A121,50,A143,A152,1,A173,1,A191,A201,0,281,Male,single
A13,18,A31,A43,1445,A65,A74,4,A101,4,A123,49,A141,A152,1,A172,1,A191,A201,0,282,Male,single
A14,15,A34,A42,1520,A65,A75,4,A101,4,A122,63,A143,A152,1,A173,1,A191,A201,0,283,Male,single
A12,24,A34,A40,3878,A62,A72,4,A101,2,A123,37,A143,A152,1,A173,1,A192,A201,0,284,Male,married/previously_married
A11,47,A32,A40,10722,A61,A72,1,A101,1,A121,35,A143,A152,1,A172,1,A192,A201,0,285,Female,married/previously_married
A11,48,A32,A41,4788,A61,A74,4,A101,3,A122,26,A143,A152,1,A173,2,A191,A201,0,286,Male,single
A12,48,A33,A410,7582,A62,A71,2,A101,4,A124,31,A143,A153,1,A174,1,A192,A201,0,287,Male,single
A12,12,A32,A43,1092,A61,A73,4,A103,4,A121,49,A143,A152,2,A173,1,A192,A201,0,288,Female,married/previously_married
A11,24,A33,A43,1024,A61,A72,4,A101,4,A121,48,A142,A152,1,A173,1,A191,A201,1,289,Male,married/previously_married
A14,12,A32,A49,1076,A61,A73,2,A101,2,A121,26,A143,A152,1,A173,1,A192,A202,0,290,Male,married/previously_married
A12,36,A32,A41,9398,A61,A72,1,A101,4,A123,28,A143,A151,1,A174,1,A192,A201,1,291,Male,married/previously_married
A11,24,A34,A41,6419,A61,A75,2,A101,4,A124,44,A143,A153,2,A174,2,A192,A201,0,292,Female,married/previously_married
A13,42,A34,A41,4796,A61,A75,4,A101,4,A124,56,A143,A153,1,A173,1,A191,A201,0,293,Male,single
A14,48,A34,A49,7629,A65,A75,4,A101,2,A123,46,A141,A152,2,A174,2,A191,A201,0,294,Male,married/previously_married
A12,48,A32,A42,9960,A61,A72,1,A101,2,A123,26,A143,A152,1,A173,1,A192,A201,1,295,Female,married/previously_married
A14,12,A32,A41,4675,A65,A72,1,A101,4,A123,20,A143,A151,1,A173,1,A191,A201,0,296,Female,married/previously_married
A14,10,A32,A40,1287,A65,A75,4,A102,2,A122,45,A143,A152,1,A172,1,A191,A202,0,297,Male,single
A14,18,A32,A42,2515,A61,A73,3,A101,4,A121,43,A143,A152,1,A173,1,A192,A201,0,298,Male,single
A12,21,A34,A42,2745,A64,A74,3,A101,2,A123,32,A143,A152,2,A173,1,A192,A201,0,299,Male,single
A14,6,A32,A40,672,A61,A71,1,A101,4,A121,54,A143,A152,1,A171,1,A192,A201,0,300,Female,married/previously_married
A12,36,A30,A43,3804,A61,A73,4,A101,1,A123,42,A143,A152,1,A173,1,A192,A201,1,301,Female,married/previously_married
A13,24,A34,A40,1344,A65,A74,4,A101,2,A121,37,A141,A152,2,A172,2,A191,A201,1,302,Male,single
A11,10,A34,A40,1038,A61,A74,4,A102,3,A122,49,A143,A152,2,A173,1,A192,A201,0,303,Male,single
A14,48,A34,A40,10127,A63,A73,2,A101,2,A124,44,A141,A153,1,A173,1,A191,A201,1,304,Male,single
A14,6,A32,A42,1543,A64,A73,4,A101,2,A121,33,A143,A152,1,A173,1,A191,A201,0,305,Male,married/previously_married
A14,30,A32,A41,4811,A65,A74,2,A101,4,A122,24,A142,A151,1,A172,1,A191,A201,0,306,Female,married/previously_married
A11,12,A32,A43,727,A62,A72,4,A101,3,A124,33,A143,A152,1,A172,1,A192,A201,1,307,Male,married/previously_married
A12,8,A32,A42,1237,A61,A73,3,A101,4,A121,24,A143,A152,1,A173,1,A191,A201,1,308,Female,married/previously_married
A12,9,A32,A40,276,A61,A73,4,A101,4,A121,22,A143,A151,1,A172,1,A191,A201,0,309,Male,married/previously_married
A12,48,A32,A410,5381,A65,A71,3,A101,4,A124,40,A141,A153,1,A171,1,A192,A201,0,310,Male,single
A14,24,A32,A42,5511,A62,A73,4,A101,1,A123,25,A142,A152,1,A173,1,A191,A201,0,311,Male,single
A13,24,A32,A42,3749,A61,A72,2,A101,4,A123,26,A143,A152,1,A173,1,A191,A201,0,312,Female,married/previously_married
A12,12,A32,A40,685,A61,A74,2,A101,3,A123,25,A141,A152,1,A172,1,A191,A201,1,313,Male,married/previously_married
A13,4,A32,A40,1494,A65,A72,1,A101,2,A121,29,A143,A152,1,A172,2,A191,A202,0,314,Male,single
A11,36,A31,A42,2746,A61,A75,4,A101,4,A123,31,A141,A152,1,A173,1,A191,A201,1,315,Male,single
A11,12,A32,A42,708,A61,A73,2,A103,3,A122,38,A143,A152,1,A172,2,A191,A201,0,316,Male,single
A12,24,A32,A42,4351,A65,A73,1,A101,4,A122,48,A143,A152,1,A172,1,A192,A201,0,317,Female,married/previously_married
A14,12,A34,A46,701,A61,A73,4,A101,2,A123,32,A143,A152,2,A173,1,A191,A201,0,318,Male,single
A11,15,A33,A42,3643,A61,A75,1,A101,4,A122,27,A143,A152,2,A172,1,A191,A201,0,319,Female,married/previously_married
A12,30,A34,A40,4249,A61,A71,4,A101,2,A123,28,A143,A152,2,A174,1,A191,A201,1,320,Male,married/previously_married
A11,24,A32,A43,1938,A61,A72,4,A101,3,A122,32,A143,A152,1,A173,1,A191,A201,1,321,Male,married/previously_married
A11,24,A32,A41,2910,A61,A74,2,A101,1,A124,34,A143,A153,1,A174,1,A192,A201,0,322,Male,single
A11,18,A32,A42,2659,A64,A73,4,A101,2,A123,28,A143,A152,1,A173,1,A191,A201,0,323,Male,single
A14,18,A34,A40,1028,A61,A73,4,A101,3,A121,36,A143,A152,2,A173,1,A191,A201,0,324,Female,married/previously_married
A11,8,A34,A40,3398,A61,A74,1,A101,4,A121,39,A143,A152,2,A172,1,A191,A202,0,325,Male,single
A14,12,A34,A42,5801,A65,A75,2,A101,4,A122,49,A143,A151,1,A173,1,A192,A201,0,326,Male,single
A14,24,A32,A40,1525,A64,A74,4,A101,3,A123,34,A143,A152,1,A173,2,A192,A201,0,327,Female,married/previously_married
A13,36,A32,A43,4473,A61,A75,4,A101,2,A123,31,A143,A152,1,A173,1,A191,A201,0,328,Male,single
A12,6,A32,A43,1068,A61,A75,4,A101,4,A123,28,A143,A152,1,A173,2,A191,A201,0,329,Male,single
A11,24,A34,A41,6615,A61,A71,2,A101,4,A124,75,A143,A153,2,A174,1,A192,A201,0,330,Male,single
A14,18,A34,A46,1864,A62,A73,4,A101,2,A121,30,A143,A152,2,A173,1,A191,A201,1,331,Female,married/previously_married
A12,60,A32,A40,7408,A62,A72,4,A101,2,A122,24,A143,A152,1,A174,1,A191,A201,1,332,Female,married/previously_married
A14,48,A34,A41,11590,A62,A73,2,A101,4,A123,24,A141,A151,2,A172,1,A191,A201,1,333,Female,married/previously_married
A11,24,A30,A42,4110,A61,A75,3,A101,4,A124,23,A141,A151,2,A173,2,A191,A201,1,334,Male,single
A11,6,A34,A42,3384,A61,A73,1,A101,4,A121,44,A143,A151,1,A174,1,A192,A201,1,335,Male,married/previously_married
A12,13,A32,A43,2101,A61,A72,2,A103,4,A122,23,A143,A152,1,A172,1,A191,A201,0,336,Female,married/previously_married
A11,15,A32,A44,1275,A65,A73,4,A101,2,A123,24,A143,A151,1,A173,1,A191,A201,1,337,Female,married/previously_married
A11,24,A32,A42,4169,A61,A73,4,A101,4,A122,28,A143,A152,1,A173,1,A191,A201,0,338,Male,single
A12,10,A32,A42,1521,A61,A73,4,A101,2,A123,31,A143,A152,1,A172,1,A191,A201,0,339,Male,married/previously_married
A12,24,A34,A46,5743,A61,A72,2,A101,4,A124,24,A143,A153,2,A173,1,A192,A201,0,340,Female,married/previously_married
A11,21,A32,A42,3599,A61,A74,1,A101,4,A123,26,A143,A151,1,A172,1,A191,A201,0,341,Female,married/previously_married
A12,18,A32,A43,3213,A63,A72,1,A101,3,A121,25,A143,A151,1,A173,1,A191,A201,0,342,Male,married/previously_married
A12,18,A32,A49,4439,A61,A75,1,A102,1,A121,33,A141,A152,1,A174,1,A192,A201,0,343,Male,single
A13,10,A32,A40,3949,A61,A72,1,A103,1,A122,37,A143,A152,1,A172,2,A191,A201,0,344,Male,single
A14,15,A34,A43,1459,A61,A73,4,A101,2,A123,43,A143,A152,1,A172,1,A191,A201,0,345,Female,married/previously_married
A12,13,A34,A43,882,A61,A72,4,A103,4,A121,23,A143,A152,2,A173,1,A191,A201,0,346,Male,single
A12,24,A32,A43,3758,A63,A71,1,A101,4,A124,23,A143,A151,1,A171,1,A191,A201,0,347,Female,married/previously_married
A14,6,A33,A49,1743,A62,A73,1,A101,2,A121,34,A143,A152,2,A172,1,A191,A201,0,348,Male,single
A12,9,A34,A46,1136,A64,A75,4,A101,3,A124,32,A143,A153,2,A173,2,A191,A201,1,349,Male,single
A14,9,A32,A44,1236,A61,A72,1,A101,4,A121,23,A143,A151,1,A173,1,A192,A201,0,350,Female,married/previously_married
A12,9,A32,A42,959,A61,A73,1,A101,2,A123,29,A143,A152,1,A173,1,A191,A202,1,351,Female,married/previously_married
A14,18,A34,A41,3229,A65,A71,2,A101,4,A124,38,A143,A152,1,A174,1,A192,A201,0,352,Male,single
A11,12,A30,A43,6199,A61,A73,4,A101,2,A122,28,A143,A151,2,A173,1,A192,A201,1,353,Male,single
A14,10,A32,A46,727,A63,A75,4,A101,4,A124,46,A143,A153,1,A173,1,A192,A201,0,354,Male,single
A12,24,A32,A40,1246,A61,A72,4,A101,2,A121,23,A142,A152,1,A172,1,A191,A201,1,355,Male,single
A14,12,A34,A43,2331,A65,A75,1,A102,4,A121,49,A143,A152,1,A173,1,A192,A201,0,356,Male,single
A14,36,A33,A43,4463,A61,A73,4,A101,2,A123,26,A143,A152,2,A174,1,A192,A201,1,357,Male,single
A14,12,A32,A43,776,A61,A73,4,A101,2,A121,28,A143,A152,1,A173,1,A191,A201,0,358,Male,married/previously_married
A11,30,A32,A42,2406,A61,A74,4,A101,4,A121,23,A143,A151,1,A173,1,A191,A201,1,359,Female,married/previously_married
A12,18,A32,A46,1239,A65,A73,4,A101,4,A124,61,A143,A153,1,A173,1,A191,A201,0,360,Male,single
A13,12,A32,A43,3399,A65,A75,2,A101,3,A123,37,A143,A152,1,A174,1,A191,A201,0,361,Male,single
A13,12,A33,A40,2247,A61,A73,2,A101,2,A123,36,A142,A152,2,A173,1,A192,A201,0,362,Female,married/previously_married
A14,6,A32,A42,1766,A61,A73,1,A101,2,A122,21,A143,A151,1,A173,1,A191,A201,0,363,Male,married/previously_married
A11,18,A32,A42,2473,A61,A71,4,A101,1,A123,25,A143,A152,1,A171,1,A191,A201,1,364,Male,single
A14,12,A32,A49,1542,A61,A74,2,A101,4,A123,36,A143,A152,1,A173,1,A192,A201,0,365,Male,single
A14,18,A34,A41,3850,A61,A74,3,A101,1,A123,27,A143,A152,2,A173,1,A191,A201,0,366,Male,single
A11,18,A32,A42,3650,A61,A72,1,A101,4,A123,22,A143,A151,1,A173,1,A191,A201,0,367,Female,married/previously_married
A11,36,A32,A42,3446,A61,A75,4,A101,2,A123,42,A143,A152,1,A173,2,A191,A201,1,368,Male,single
A12,18,A32,A42,3001,A61,A74,2,A101,4,A121,40,A143,A151,1,A173,1,A191,A201,0,369,Female,married/previously_married
A14,36,A32,A40,3079,A65,A73,4,A101,4,A121,36,A143,A152,1,A173,1,A191,A201,0,370,Male,single
A14,18,A34,A43,6070,A61,A75,3,A101,4,A123,33,A143,A152,2,A173,1,A192,A201,0,371,Male,single
A14,10,A34,A42,2146,A61,A72,1,A101,3,A121,23,A143,A151,2,A173,1,A191,A201,0,372,Female,married/previously_married
A14,60,A34,A40,13756,A65,A75,2,A101,4,A124,63,A141,A153,1,A174,1,A192,A201,0,373,Male,single
A12,60,A31,A410,14782,A62,A75,3,A101,4,A124,60,A141,A153,2,A174,1,A192,A201,1,374,Female,married/previously_married
A11,48,A31,A49,7685,A61,A74,2,A103,4,A123,37,A143,A151,1,A173,1,A191,A201,1,375,Female,married/previously_married
A14,18,A33,A43,2320,A61,A71,2,A101,3,A121,34,A143,A152,2,A173,1,A191,A201,0,376,Male,married/previously_married
A14,7,A33,A43,846,A65,A75,3,A101,4,A124,36,A143,A153,1,A173,1,A191,A201,0,377,Male,single
A12,36,A32,A40,14318,A61,A75,4,A101,2,A124,57,A143,A153,1,A174,1,A192,A201,1,378,Male,single
A14,6,A34,A40,362,A62,A73,4,A101,4,A123,52,A143,A152,2,A172,1,A191,A201,0,379,Female,married/previously_married
A11,20,A32,A42,2212,A65,A74,4,A101,4,A123,39,A143,A152,1,A173,1,A192,A201,0,380,Male,single
A12,18,A32,A41,12976,A61,A71,3,A101,4,A124,38,A143,A153,1,A174,1,A192,A201,1,381,Female,married/previously_married
A14,22,A32,A40,1283,A65,A74,4,A101,4,A122,25,A143,A151,1,A173,1,A191,A201,0,382,Female,married/previously_married
A13,12,A32,A40,1330,A61,A72,4,A101,1,A121,26,A143,A152,1,A173,1,A191,A201,0,383,Male,single
A14,30,A33,A49,4272,A62,A73,2,A101,2,A122,26,A143,A152,2,A172,1,A191,A201,0,384,Male,single
A14,18,A34,A43,2238,A61,A73,2,A101,1,A123,25,A143,A152,2,A173,1,A191,A201,0,385,Female,married/previously_married
A14,18,A32,A43,1126,A65,A72,4,A101,2,A121,21,A143,A151,1,A173,1,A192,A201,0,386,Female,married/previously_married
A12,18,A34,A42,7374,A61,A71,4,A101,4,A122,40,A142,A152,2,A174,1,A192,A201,0,387,Male,single
A12,15,A34,A49,2326,A63,A73,2,A101,4,A123,27,A141,A152,1,A173,1,A191,A201,0,388,Male,single
A14,9,A32,A49,1449,A61,A74,3,A101,2,A123,27,A143,A152,2,A173,1,A191,A201,0,389,Female,married/previously_married
A14,18,A32,A40,1820,A61,A73,2,A101,2,A122,30,A143,A152,1,A174,1,A192,A201,0,390,Male,married/previously_married
A12,12,A32,A42,983,A64,A72,1,A101,4,A121,19,A143,A151,1,A172,1,A191,A201,0,391,Female,married/previously_married
A11,36,A32,A40,3249,A61,A74,2,A101,4,A124,39,A141,A153,1,A174,2,A192,A201,0,392,Male,single
A11,6,A34,A43,1957,A61,A74,1,A101,4,A123,31,A143,A152,1,A173,1,A191,A201,0,393,Female,married/previously_married
A14,9,A34,A42,2406,A61,A71,2,A101,3,A123,31,A143,A152,1,A174,1,A191,A201,0,394,Male,single
A12,39,A33,A46,11760,A62,A74,2,A101,3,A124,32,A143,A151,1,A173,1,A192,A201,0,395,Male,single
A11,12,A32,A42,2578,A61,A71,3,A101,4,A124,55,A143,A153,1,A174,1,A191,A201,0,396,Female,married/previously_married
A11,36,A34,A42,2348,A61,A73,3,A101,2,A122,46,A143,A152,2,A173,1,A192,A201,0,397,Male,married/previously_married
A12,12,A32,A40,1223,A61,A75,1,A101,1,A121,46,A143,A151,2,A173,1,A191,A201,1,398,Male,married/previously_married
A14,24,A34,A43,1516,A64,A73,4,A101,1,A121,43,A143,A152,2,A172,1,A191,A201,0,399,Female,married/previously_married
A14,18,A32,A43,1473,A61,A72,3,A101,4,A121,39,A143,A152,1,A173,1,A192,A201,0,400,Male,married/previously_married
A12,18,A34,A49,1887,A65,A73,4,A101,4,A121,28,A141,A152,2,A173,1,A191,A201,0,401,Male,married/previously_married
A14,24,A33,A49,8648,A61,A72,2,A101,2,A123,27,A141,A152,2,A173,1,A192,A201,1,402,Male,single
A14,14,A33,A40,802,A61,A73,4,A101,2,A123,27,A143,A152,2,A172,1,A191,A201,0,403,Male,single
A12,18,A33,A40,2899,A65,A75,4,A101,4,A123,43,A143,A152,1,A173,2,A191,A201,0,404,Male,single
A12,24,A32,A43,2039,A61,A72,1,A101,1,A122,22,A143,A152,1,A173,1,A192,A201,1,405,Male,married/previously_married
A14,24,A34,A41,2197,A65,A74,4,A101,4,A123,43,A143,A152,2,A173,2,A192,A201,0,406,Male,single
A11,15,A32,A43,1053,A61,A72,4,A101,2,A121,27,A143,A152,1,A173,1,A191,A202,0,407,Male,married/previously_married
A14,24,A32,A43,3235,A63,A75,3,A101,2,A123,26,A143,A152,1,A174,1,A192,A201,0,408,Male,married/previously_married
A13,12,A34,A40,939,A63,A74,4,A101,2,A121,28,A143,A152,3,A173,1,A192,A201,1,409,Male,married/previously_married
A12,24,A32,A43,1967,A61,A75,4,A101,4,A123,20,A143,A152,1,A173,1,A192,A201,0,410,Female,married/previously_married
A14,33,A34,A41,7253,A61,A74,3,A101,2,A123,35,A143,A152,2,A174,1,A192,A201,0,411,Male,single
A14,12,A34,A49,2292,A61,A71,4,A101,2,A123,42,A142,A152,2,A174,1,A192,A201,1,412,Male,single
A14,10,A32,A40,1597,A63,A73,3,A101,2,A124,40,A143,A151,1,A172,2,A191,A202,0,413,Male,single
A11,24,A32,A40,1381,A65,A73,4,A101,2,A122,35,A143,A152,1,A173,1,A191,A201,1,414,Female,married/previously_married
A14,36,A34,A41,5842,A61,A75,2,A101,2,A122,35,A143,A152,2,A173,2,A192,A201,0,415,Male,single
A11,12,A32,A40,2579,A61,A72,4,A101,1,A121,33,A143,A152,1,A172,2,A191,A201,1,416,Male,single
A11,18,A33,A46,8471,A65,A73,1,A101,2,A123,23,A143,A151,2,A173,1,A192,A201,0,417,Female,married/previously_married
A14,21,A32,A40,2782,A63,A74,1,A101,2,A123,31,A141,A152,1,A174,1,A191,A201,0,418,Female,married/previously_married
A12,18,A32,A40,1042,A65,A73,4,A101,2,A122,33,A143,A152,1,A173,1,A191,A201,1,419,Female,married/previously_married
A14,15,A32,A40,3186,A64,A74,2,A101,3,A123,20,A143,A151,1,A173,1,A191,A201,0,420,Female,married/previously_married
A12,12,A32,A41,2028,A65,A73,4,A101,2,A123,30,A143,A152,1,A173,1,A191,A201,0,421,Male,single
A12,12,A34,A40,958,A61,A74,2,A101,3,A121,47,A143,A152,2,A172,2,A191,A201,0,422,Male,single
A14,21,A33,A42,1591,A62,A74,4,A101,3,A121,34,A143,A152,2,A174,1,A191,A201,0,423,Male,single
A12,12,A32,A42,2762,A65,A75,1,A101,2,A122,25,A141,A152,1,A173,1,A192,A201,1,424,Female,married/previously_married
A12,18,A32,A41,2779,A61,A73,1,A101,3,A123,21,A143,A151,1,A173,1,A192,A201,0,425,Male,married/previously_married
A14,28,A34,A43,2743,A61,A75,4,A101,2,A123,29,A143,A152,2,A173,1,A191,A201,0,426,Male,single
A14,18,A34,A43,1149,A64,A73,4,A101,3,A121,46,A143,A152,2,A173,1,A191,A201,0,427,Male,single
A14,9,A32,A42,1313,A61,A75,1,A101,4,A123,20,A143,A152,1,A173,1,A191,A201,0,428,Male,single
A11,18,A34,A45,1190,A61,A71,2,A101,4,A124,55,A143,A153,3,A171,2,A191,A201,1,429,Female,married/previously_married
A14,5,A32,A49,3448,A61,A74,1,A101,4,A121,74,A143,A152,1,A172,1,A191,A201,0,430,Male,single
A12,24,A32,A410,11328,A61,A73,2,A102,3,A123,29,A141,A152,2,A174,1,A192,A201,1,431,Male,single
A11,6,A34,A42,1872,A61,A71,4,A101,4,A124,36,A143,A153,3,A174,1,A192,A201,0,432,Male,single
A14,24,A34,A45,2058,A61,A73,4,A101,2,A121,33,A143,A152,2,A173,1,A192,A201,0,433,Male,married/previously_married
A11,9,A32,A42,2136,A61,A73,3,A101,2,A121,25,A143,A152,1,A173,1,A191,A201,0,434,Male,single
A12,12,A32,A43,1484,A65,A73,2,A101,1,A121,25,A143,A152,1,A173,1,A192,A201,1,435,Male,married/previously_married
A14,6,A32,A45,660,A63,A74,2,A101,4,A121,23,A143,A151,1,A172,1,A191,A201,0,436,Male,married/previously_married
A14,24,A34,A40,1287,A64,A75,4,A101,4,A121,37,A143,A152,2,A173,1,A192,A201,0,437,Female,married/previously_married
A11,42,A34,A45,3394,A61,A71,4,A102,4,A123,65,A143,A152,2,A171,1,A191,A201,0,438,Male,single
A13,12,A31,A49,609,A61,A72,4,A101,1,A121,26,A143,A152,1,A171,1,A191,A201,1,439,Female,married/previously_married
A14,12,A32,A40,1884,A61,A75,4,A101,4,A123,39,A143,A152,1,A174,1,A192,A201,0,440,Male,single
A11,12,A32,A42,1620,A61,A73,2,A102,3,A122,30,A143,A152,1,A173,1,A191,A201,0,441,Female,married/previously_married
A12,20,A33,A410,2629,A61,A73,2,A101,3,A123,29,A141,A152,2,A173,1,A192,A201,0,442,Male,single
A14,12,A32,A46,719,A61,A75,4,A101,4,A123,41,A141,A152,1,A172,2,A191,A201,1,443,Male,single
A12,48,A34,A42,5096,A61,A73,2,A101,3,A123,30,A143,A152,1,A174,1,A192,A201,1,444,Female,married/previously_married
